귤,양파,공부하다,to learn/study,onion,tangerine
하나/일,둘/이,셋/삼,three,two,one
넷/사,다섯/오,여섯/육,six,five,four
일곱/칠,여덟/팔,아홉/구,nine,eight,seven
열/십,학생,질문 있어요? 네 / 없어요,Is there a question? Yes / There is none,student,ten
읽다,쓰다,연구원,researcher,to write,to read
어디,지금,무엇/뭐?,what?,now,where
생일 축하해요,다음 주에 만나요,만나서 반가워요,nice to meet you,see you next week,congratulations for your birthday
자다,공원,학교,school,park,to sleep
아래/밑,위,안,in,on top of,under/beneath
책,미안합니다 / 죄송합니다,감사합니다 / 고맙습니다,thank you,sorry,book
알겠어요?,듣다,보다,to look,to listen,do you understand?
국적,없다,있다,there is (inf),there is none (inf),nationality
공무원,회사원,경찰,policeman,office worker,civil servant
선생님,운동하다,전화하다,to telephone,to exercise,teacher
식당,집,이야기하다,to tell something,house/home,restaurant
엄마,아빠,시장,market,father,mother
계란,물,가족,family,water,egg
감자,밤,사과,apple,night/chestnut,potato
천,백,펜,pen,100,1000
주다,사다,만,10000,to buy,to give
숙제,좋아하다,좋다,good,to like,homework
옆,뒤,앞,in front of,behind,next to
NULL,직업,장소,place,occupation,NULL
가방,위치,물건,thing/facility,location,bag (for books)
책상,연필,의자,chair,pencil,desk
병,침대,먹다,to eat,bed,bottle/illness
나무,차,쉬다,to rest/take a break,tea/car,tree
오늘,오랜만이에요,"잘 지냈어요? 네, 잘 지냈어요.","How are you doing? Yes, all good.",long time no see,today
어제,내일,청소하다,to clean,tomorrow,yesterday
사랑하다,싫어하다,요리하다,to cook,to hate (not personal),to love
싫다,싸다,비싸다,expensive,cheap,don't want / don't like
얼마,좀,몇,how many?,please,how much? (money)
사람,명,권,Book (counting),person (counting),person
장,개,잔,paper (counting),piece (counting),glass (counting)
스물/이십,서른/삼십,마흔/사십,40,30,20
월,살,쉰/오십,50,Age (counting),month
극장,영화,같이,together,film,theater
주말,다음,지난,previous (time),next (time),weekend
알다,모르다,언제?,when?,to not know,to know
날씨,따뜻하다,요즘,these days,warm,weather
오전,반,맛있다,tasty,half,A.M.
왜?,도서관,오후,P.M.,library,why?
오다,눈이 오다,비가 오다,to rain,to snow,to come / arrive
그러면,그래서,여기,here,'so',then
노란,빨간,등산,mountain climbing / hiking,red,yellow
고장,어떤?,똑똑하다,smart,what kind of?,out of order
박물관,밖,이름,name,out (location),museum
여름,봄,고향,home town,spring,summer
시원하다,겨울,가을,autumn,winter,cool
날씨가 좋지 않다,춥다,덥다,hot,cold,the weather is not good
달력,남자 친구,여자 친구,girlfriend,boyfriend,calender
생일,끝나다,시작하다,to begin,to end,birthday
어렵다,쉽다,음식,food,easy,difficult
시월,유월,맵다,spicy,june,october
화요일,월요일,일요일,sunday,monday,tuesday
금요일,목요일,수요일,wednesday,thursday,friday
아침,시 / 분,토요일,saturday,hours / mins,Morning (meal)
계획,저녁,점심,Lunch (time),Evening (meal),plan / schedule
무슨?,누구?,약속,appointment / promise,Who?,which / what?
잡지,소설,가져오다,to bring,novel,magazine
괜찮다,시간이 있다,어때요?,how about?,I have time,It's OK (inf)
하고,동생,바쁘다,to be busy,younger sibling,and (things)
수업,교실,그리고,and (sentences),classroom,lesson/class
젓가락,숟가락,수학,mathematics,spoon,chopsticks
..에 대한,음악,수저,eating utensils,music,about
이유,여행하다,이번,This time,to travel,reason
대학교,성/궁,아직,still / yet,castle / palace,university (bachelor)
수영하다,내년,대학원,graduate school (master / PhD),next year,to swim
NULL,쪽,수영장,swimming pool,page,NULL
